,,,,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
3,Population,Est.,362398,0.002304096600974619,0.0008774882863591963,0.007439334654164758,0.0013603827835694457,0.10166446834695556,0.007745627735252402,0.04261888862521317,0.002168886141755749,0.004610952599076154,0.20115729115502845,0.02937930121027158,0.0028173444665809413,0.0011423904105431046,0.014384737222611604,0.006255553286717918,0.0019619313572370707,0.002563479930904696,0.00269593099299665,0.006639109487359201,0.0010375333197203075,0.01952825346718249,0.1688999387413838,0.011388031942781141,0.006688778635643685,0.0009795859800550775,0.005060734330763415,0.0008278191380747135,0.0009713077886743304,0.01033946103455317,0.006542530587917152,0.08373942461051109,0.0028642542177385083,0.070778536305388,0.015209796963559402,0.001826720898018201,0.012265520229140337,0.0017080668215608253,0.00564296712454263,0.02335553728221458,0.003454765202898471,0.008485146165265812,0.00023454875578783548,0.004591636819187744,0.05051904259957284,0.008990115839491388,0.00034768403799137964,0.017246232043223196,0.012218610477982771,0.0008305785352016291,0.0035347877195790263,0.00010485709082279704
4,,%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
5,Age 0 to 4,Est.,3155,0.0,0.0,0.003486529318541997,0.0,0.10903328050713154,0.0,0.0,0.0,0.0,0.22282091917591126,0.045641838351822506,0.0,0.0,0.020919175911251982,0.015213946117274169,0.0,0.0,0.0,0.0,0.0,0.006339144215530904,0.05515055467511886,0.027892234548335976,0.015530903328050714,0.0,0.01901743264659271,0.0,0.0,0.05578446909667195,0.042472266244057054,0.03169572107765452,0.0,0.17527733755942948,0.0,0.0,0.044374009508716325,0.0,0.0,0.0,0.0,0.0,0.0,0.010776545166402536,0.04595879556259905,0.0,0.0,0.0526148969889065,0.0,0.0,0.0,0.0
6,,%,0.90%,0.00%,0.00%,0.40%,0.00%,0.90%,0.00%,0.00%,0.00%,0.00%,1.00%,1.40%,0.00%,0.00%,1.30%,2.10%,0.00%,0.00%,0.00%,0.00%,0.00%,0.30%,0.30%,2.10%,2.00%,0.00%,3.30%,0.00%,0.00%,4.70%,5.70%,0.30%,0.00%,2.20%,0.00%,0.00%,3.10%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.00%,0.80%,0.00%,0.00%,2.70%,0.00%,0.00%,0.00%,0.00%
7,Age 5 to 9,Est.,4866,0.0,0.01685162351006987,0.008014796547472256,0.0,0.08528565556925606,0.015413070283600493,0.009453349773941636,0.0,0.04500616522811344,0.26099465680230166,0.02178380600082203,0.0,0.0032881216605014385,0.011508425811755036,0.010069872585285656,0.0,0.0,0.0,0.0,0.0,0.040073982737361284,0.09843814221126182,0.006370735717221537,0.015002055076037813,0.0,0.007603781339909577,0.0,0.0,0.0,0.0,0.06740649404027949,0.0,0.08014796547472257,0.007192766132346897,0.0,0.02363337443485409,0.0,0.0,0.015207562679819153,0.0,0.005754212905877518,0.0,0.011302918207973694,0.10645293875873407,0.009453349773941636,0.0,0.01829017673653925,0.0,0.0,0.0,0.0
8,,%,1.30%,0.00%,25.80%,1.40%,0.00%,1.10%,2.70%,0.30%,0.00%,13.10%,1.70%,1.00%,0.00%,3.90%,1.10%,2.20%,0.00%,0.00%,0.00%,0.00%,0.00%,2.80%,0.80%,0.80%,3.00%,0.00%,2.00%,0.00%,0.00%,0.00%,0.00%,1.10%,0.00%,1.50%,0.60%,0.00%,2.60%,0.00%,0.00%,0.90%,0.00%,0.90%,0.00%,3.30%,2.80%,1.40%,0.00%,1.40%,0.00%,0.00%,0.00%,0.00%
9,Age 10 to 14,Est.,7445,0.0,0.004969778374748153,0.011014103425117529,0.0,0.06675621222296843,0.007924781732706514,0.04889187374076562,0.011685695097380792,0.005372733378106112,0.2639355271994627,0.023371390194761584,0.003223640026863667,0.0,0.012625923438549362,0.013431833445265278,0.0,0.005910006715916722,0.0,0.0,0.0,0.04889187374076562,0.1590329079919409,0.022834116856950974,0.011417058428475487,0.0,0.015983881799865682,0.0,0.0,0.028744123572867698,0.010073875083948958,0.04969778374748153,0.0,0.036400268636668905,0.004432505036937542,0.013834788448623236,0.0,0.0036265950302216254,0.0,0.020416386836803222,0.0,0.013163196776359973,0.0,0.009670920080591,0.05278710543989255,0.0,0.0,0.013700470114170584,0.0061786433848220286,0.0,0.0,0.0
10,,%,2.10%,0.00%,11.60%,3.00%,0.00%,1.30%,2.10%,2.40%,11.10%,2.40%,2.70%,1.60%,2.40%,0.00%,1.80%,4.40%,0.00%,4.70%,0.00%,0.00%,0.00%,5.10%,1.90%,4.10%,3.50%,0.00%,6.50%,0.00%,0.00%,5.70%,3.20%,1.20%,0.00%,1.10%,0.60%,15.60%,0.00%,4.40%,0.00%,1.80%,0.00%,3.20%,0.00%,4.30%,2.10%,0.00%,0.00%,1.60%,1.00%,0.00%,0.00%,0.00%
11,Age 15 to 19,Est.,15157,0.0032988058322887116,0.0,0.011875700996239361,0.0027050207824767434,0.09091508873787689,0.010622154779969651,0.02777594510787095,0.014184865078841459,0.008312990697367554,0.1869103384574784,0.043544236986210995,0.002309164082602098,0.002243187965956324,0.007917133997492908,0.014316817312133008,0.002111235732664775,0.0032328297156429373,0.013063271095863298,0.004948208748433067,0.0,0.011875700996239361,0.14013327175562446,0.011083987596490071,0.007059444481097843,0.0,0.0012535462162697104,0.006069802731411229,0.0027050207824767434,0.01326119944580062,0.0035627102988718086,0.07534472520947418,0.0038266147654549055,0.05416639176618064,0.022365903542917464,0.004156495348683777,0.02045259616019001,0.012997294979217523,0.004354423698621099,0.018605264894108332,0.0,0.004024543115392228,0.0,0.010952035363198522,0.04361021310285677,0.019924787227023816,0.0,0.01029227419674078,0.036220888038530054,0.0019133073827274528,0.009038727980471069,0.0004618328165204196
12,,%,4.20%,6.00%,0.00%,6.70%,8.30%,3.70%,5.70%,2.70%,27.40%,7.50%,3.90%,6.20%,3.40%,8.20%,2.30%,9.60%,4.50%,5.30%,20.30%,3.10%,0.00%,2.50%,3.50%,4.10%,4.40%,0.00%,1.00%,30.70%,11.60%,5.40%,2.30%,3.80%,5.60%,3.20%,6.20%,9.50%,7.00%,31.80%,3.20%,3.30%,0.00%,2.00%,0.00%,10.00%,3.60%,9.30%,0.00%,2.50%,12.40%,9.60%,10.70%,18.40%
